Character,Rebutal,Antiheal,Reactive Barrier,Slowing Hex,Debuff Remover,Counter Spell,Knockdown,Divine Barrier,Disarming Hex/Firerate Slows,Rescue Beam,Spellbreaker,Plated Armor,Warpstone,Silence Wave,Spirit Shielding,Resto Locket,Key Ability,Misc Counters,Tech,
Abrams,great,great,great,great,okay,okay,bad,okay,okay,okay,okay,bad,great,okay,okay,okay,Charge,,"Spacing, Verticality, Parrying off charge pre T2, Don't focus",
Bebop,okay,bad,great,bad,great,great,great,great,"great, Gun build only",okay," great, Spirit build only",okay,okay,okay,okay,great,Hook,,"Watching for hook, Meleeing out of uppercut",
Billy,great,great,okay,okay,okay,great,bad,great,great,great,bad,okay,great,okay,okay,okay,Dash,,Break line of sight,
Calico,great,great,bad,great,bad,great,okay,great,bad,okay,great,bad,okay,great,great,okay,Slash,,"Shove Wave, She's way weaker without her ult",
Doorman,okay,bad,great,bad,great,great,okay,okay,okay,okay,great,bad,okay,okay,great,great,Cart,,"Space/Jump cart, CC out of ult",
Drifter,okay,okay,bad,bad,great,okay,okay,great,great,great,bad,great,great,okay,okay,great,Mark,,"Space 1, Use Mic",
Dynamo,okay,okay,okay,great,okay,okay,great,okay,bad,great,"great, Kick build only",bad,great,great,great,okay,Entanglement,,"Space ult, Jump kicks",
Grey Talon,okay,bad,okay,okay,bad,great,great,okay,bad,okay,great,bad,okay,okay,great,okay,Flight,,"Wait out/bait traps, don't peak when he is in 1",
Haze,okay,okay,great,bad,great,okay,okay,great,great,great,bad,great,great,great,okay,great,Knife,,"Play around corners, Location awareness, Let fixation reset",
Holiday,okay,bad,okay,great,great,great,great,okay,okay,great,great,okay,great,great,great,great,Crackshot,,Parry when she melees barrels ,
Infernus,okay,okay,okay,great,great,great,great,great,great,great,bad,great,great,okay,great,okay,Dash,,"Don't peak with burn, Verticality",
Ivy,okay,okay,okay,okay,bad,great,great,okay,great,okay,bad,okay,okay,great,okay,okay,Stoneform,,"Verticality for kudzu, CC out of ult",
Kelvin,okay,great,bad,bad,great,okay,great,okay,bad,okay,okay,bad,okay,okay,great,okay,Beam,Enduring Speed,"Parry in dome, Melee in beam",
Lady Geist,okay,great,bad,bad,okay,great,bad,okay,okay,okay,great,bad,great,great,great,great,Suck,,"Space ult, Keep stam for bombs",
Lash,okay,okay,okay,great,okay,great,great,okay,bad,great,great,bad,okay,great,great,okay,Grapple,,"Play near a roof, Fight indoors",
McGinnis,okay,okay,okay,bad,okay,okay,bad,okay,"great, Gun build only",okay,bad,okay,great,okay,okay,okay,Wall,,"Don't misposition, Clear turrets",
Mina,okay,great,bad,great,great,okay,great,okay,okay,okay,okay,okay,okay,great,great,great,Bats,,Trade quickly without procing love bites,
Mirage,okay,okay,okay,great,great,okay,okay,okay,great,okay,okay,okay,great,okay,okay,great,Tornado,,Save CC for after tornado or if he trys to ult out,
Mo & Krill,okay,great,okay,bad,great,okay,great,great,bad,great,bad,bad,okay,great,great,okay,Burrow,,"Vertically, Spacing",
Paige,okay,bad,great,okay,great,great,great,okay,bad,okay,bad,bad,okay,great,great,okay,Barrier,,Focus her.,
Paradox,okay,bad,great,okay,okay,okay,okay,okay,bad,great,great,bad,great,okay,great,okay,Wall,,"Play off audio, Don't trade when she has wall up",
Pocket,okay,okay,bad,great,okay,great,okay,great,bad,okay,great,bad,okay,great,great,okay,Case,,"Don't group late, and punish bad cloaks",
Seven,okay,okay,great,bad,great,great,great,okay,great,okay,bad,great,okay,okay,great,okay,Power Surge,,Go near a wall where you can shoot him but his ult doesn't hit you,
Shiv,okay,great,bad,okay,great,great,okay,great,okay,okay,okay,bad,okay,great,great,great,Dash,,"Space dash, Pay attention to rage",
Sinclair,okay,bad,great,great,great,great,okay,okay,bad,okay,great,bad,okay,great,great,okay,Assistant,,"Jump bolts, Com when he takes your ult",
Victor,okay,great,bad,okay,okay,okay,bad,okay,okay,great,bad,bad,okay,great,great,okay,Pain Battery,Capacitor,"Watch your stam, Watch his ult (eyes at the top) Don't focus him",
Vindicta,okay,bad,great,bad,great,okay,great,great,okay,okay,great,"okay, Gun buld only",okay,okay,okay,great,Stake,,"Don't ego, reset if you're low",
Viscous,great,okay,bad,bad,bad,okay,okay,okay,okay,okay,okay,bad,okay,okay,great,okay,Cube,Capacitor; Armor Piercing Rounds,"Parry Puddle Punches, Jump ult, Height in lane",
Vyper,okay,okay,okay,great,great,great,great,great,great,okay,okay,great,great,okay,okay,great,Venom,,"High ground, Slow her down",
Warden,okay,great,okay,okay,great,great,okay,great,okay,great,bad,bad,great,okay,okay,great,Barrier,,"CC in ult channel, Espace plan, Stam management ",
Wraith,okay,okay,bad,great,okay,great,okay,okay,great,great,okay,great,great,okay,okay,okay,Cards,,Watch cards,
Yamato,okay,great,bad,bad,bad,great,okay,great,bad,great,okay,bad,great,great,great,great,Crimson Slash,Armor Piercing Rounds,"Don't ego, Don't be afraid to go lots of healing and Monster Rounds to play safe",
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,great,okay,bad,,,,,,,,,,,,
